"";"c1";"c2";"c3";"c4";"c5";"c6";"Cepa";"Fecha";"Lado"
"131";"7.10960788847469e-01";"1.27101327912848e-01";"1.53783034778031e-06";"9.86653372735563e-15";"7.71560270405077e-28";"1.77655138332218e-43";"ECO";"F1";"F"
"132";"5.51055339164888e-01";"2.10479078487308e-01";"5.87012677924380e-06";"8.04660974423114e-14";"1.45043542665829e-26";"7.13535516966171e-42";"ECO";"F1";"F"
"133";"5.72427176020723e-01";"1.97593532495530e-01";"4.93007937621205e-06";"6.10742485460207e-14";"9.84886605429617e-27";"4.37866974457469e-42";"ECO";"F1";"F"
"134";"3.86043294032056e-01";"3.35746928486445e-01";"2.31499013028640e-05";"7.22564995061020e-13";"3.22003747703886e-25";"3.60695263629202e-40";"ECO";"F1";"F"
"135";"6.36831614371743e-01";"1.62253242537389e-01";"2.89869477463293e-06";"2.65047062954355e-14";"3.06040576721809e-27";"1.00427177940881e-42";"ECO";"F1";"F"
"136";"6.12075928018542e-01";"1.75255357368178e-01";"3.55997839609050e-06";"3.65818028004754e-14";"4.80272894394024e-27";"1.77115902850102e-42";"ECO";"F1";"F"
"137";"4.17029802114429e-01";"3.08061840692325e-01";"1.77492194011805e-05";"4.70545701772863e-13";"1.75222581819386e-25";"1.66711042314014e-40";"ECO";"F1";"D"
"138";"6.06357365243145e-01";"1.78358586454991e-01";"3.73198061451754e-06";"3.93963949457206e-14";"5.32781029422398e-27";"2.01844813664818e-42";"ECO";"F1";"D"
"139";"6.06530659712633e-01";"1.78263979585048e-01";"3.72665317207867e-06";"3.93080548596586e-14";"5.31109224967910e-27";"2.01047261066672e-42";"ECO";"F1";"D"
"140";"5.96307250076099e-01";"1.83906876566985e-01";"4.05379788308840e-06";"4.48685163578863e-14";"6.39223517988446e-27";"2.53912511610788e-42";"ECO";"F1";"D"
"141";"7.10960788847469e-01";"1.27101327912848e-01";"1.53783034778031e-06";"9.86653372735563e-15";"7.71560270405077e-28";"1.77655138332218e-43";"ECO";"F1";"D"
"142";"5.51055339164888e-01";"2.10479078487308e-01";"5.87012677924380e-06";"8.04660974423114e-14";"1.45043542665829e-26";"7.13535516966171e-42";"ECO";"F1";"D"
