"";"V1_Calma";"V2_Ventolina";"V3_BrisaMuyDebil";"V4_BrisaDebilFlojo";"V5_BrisaModerada";"V6_BrisaFresca";"V7_BrisaFuerte";"v8_VientoFuerte";"v9_Temporal";"LOCALIDAD";"PARAMETRO";"MES"
"129";"0e+00";"0.000e+00";"7.231e-01";"2.769e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo67.75";"WS50M";"enero"
"130";"0e+00";"0.000e+00";"8.462e-01";"1.538e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo67.75";"WS10M";"enero"
"131";"0e+00";"0.000e+00";"6.256e-01";"3.744e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo67.25";"WS50M";"enero"
"132";"0e+00";"0.000e+00";"7.897e-01";"2.103e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo67.25";"WS10M";"enero"
"133";"0e+00";"0.000e+00";"2.974e-01";"7.026e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo66.75";"WS50M";"enero"
"134";"0e+00";"0.000e+00";"6.154e-01";"3.846e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo66.75";"WS10M";"enero"
"135";"0e+00";"0.000e+00";"1.231e-01";"8.769e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo66.25";"WS50M";"enero"
"136";"0e+00";"0.000e+00";"5.179e-01";"4.821e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo66.25";"WS10M";"enero"
"137";"0e+00";"0.000e+00";"0.000e+00";"9.304e-01";"6.960e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo65.75";"WS50M";"enero"
"138";"0e+00";"0.000e+00";"5.077e-01";"4.923e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo65.75";"WS10M";"enero"
"139";"0e+00";"0.000e+00";"0.000e+00";"9.174e-01";"8.260e-02";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo65.25";"WS50M";"enero"
"140";"0e+00";"0.000e+00";"7.282e-01";"2.718e-01";"0.000e+00";"0.000e+00";"0.000e+00";"0.000e+00";"0e+00";"La28.75Lo65.25";"WS10M";"enero"
